day_of_week,hour,active_orders,occupied_tables,estimated_occupancy,kitchen_load,bar_load,avg_preparation_time,orders_last_30_min,order_age_minutes,item_count,traffic_level,recommended_waiters,recommended_kitchen_staff,recommended_bar_staff,delay_risk
0,21,8,5,57,13,3,26,14,12,5,MEDIU,3,3,1,MEDIU
0,21,1,2,18,1,1,27,0,20,2,SCAZUT,1,1,1,SCAZUT
5,17,3,2,17,3,1,21,5,24,3,SCAZUT,1,1,1,SCAZUT
4,17,0,2,14,0,0,28,1,20,8,SCAZUT,1,1,1,MEDIU
3,22,7,6,40,7,6,27,6,21,2,MEDIU,2,2,1,MEDIU
6,15,1,1,9,0,1,27,0,4,8,SCAZUT,1,1,1,SCAZUT
3,14,15,10,80,20,6,11,14,27,4,RIDICAT,5,4,2,RIDICAT
1,22,1,0,19,1,0,25,1,38,6,SCAZUT,1,1,1,MEDIU
6,22,3,1,28,3,3,28,3,17,8,SCAZUT,1,1,1,MEDIU
5,15,3,0,27,3,2,25,2,5,3,SCAZUT,1,1,1,SCAZUT
1,15,8,4,43,9,5,22,6,26,1,MEDIU,3,2,1,MEDIU
1,21,7,8,31,7,2,19,14,19,7,MEDIU,3,2,1,MEDIU
6,21,3,1,13,3,2,29,3,25,3,SCAZUT,1,1,1,MEDIU
6,22,0,3,23,0,0,21,4,8,8,SCAZUT,1,1,1,SCAZUT
1,9,3,2,11,3,3,20,3,17,7,SCAZUT,1,1,1,SCAZUT
2,10,3,8,64,5,2,28,5,4,1,MEDIU,3,2,1,SCAZUT
6,8,1,0,24,1,0,11,1,36,4,SCAZUT,1,1,1,SCAZUT
3,16,4,7,37,6,1,8,7,19,7,MEDIU,2,2,1,MEDIU
3,14,7,8,45,9,4,29,6,38,2,MEDIU,3,2,1,MEDIU
6,9,3,2,7,4,1,21,4,31,2,SCAZUT,1,1,1,SCAZUT
3,19,10,10,76,12,9,27,23,34,8,RIDICAT,5,4,3,RIDICAT
3,21,5,4,35,7,2,22,9,36,7,MEDIU,2,2,1,MEDIU
2,8,5,4,61,5,3,16,8,38,5,MEDIU,2,2,1,MEDIU
4,8,0,1,28,0,0,30,3,30,8,SCAZUT,1,1,1,MEDIU
3,8,2,1,17,2,1,19,5,30,6,SCAZUT,1,1,1,MEDIU
3,18,8,6,47,8,3,14,9,20,2,MEDIU,3,2,1,MEDIU
5,13,1,3,13,1,1,27,5,18,2,SCAZUT,1,1,1,SCAZUT
6,14,1,2,10,0,0,16,2,2,1,SCAZUT,1,1,1,SCAZUT
4,17,3,0,5,3,2,18,4,11,1,SCAZUT,1,1,1,SCAZUT
2,23,0,3,20,0,0,12,0,9,5,SCAZUT,1,1,1,SCAZUT
0,15,3,1,29,3,3,17,4,37,7,SCAZUT,1,1,1,MEDIU
2,9,1,1,13,0,0,25,5,4,3,SCAZUT,1,1,1,SCAZUT
0,21,8,7,60,6,5,17,9,29,2,MEDIU,3,2,1,MEDIU
5,15,1,3,8,1,0,16,4,9,2,SCAZUT,1,1,1,SCAZUT
0,13,7,8,48,6,6,30,12,25,5,MEDIU,3,2,1,MEDIU
4,23,0,0,18,0,0,10,5,14,1,SCAZUT,1,1,1,SCAZUT
6,16,1,3,21,1,0,26,5,27,8,SCAZUT,1,1,1,MEDIU
0,23,3,2,15,2,1,21,5,31,5,SCAZUT,1,1,1,SCAZUT
5,20,3,0,15,3,3,20,2,32,1,SCAZUT,1,1,1,SCAZUT
5,22,0,1,21,0,0,22,2,3,4,SCAZUT,1,1,1,SCAZUT
2,12,15,12,96,12,13,15,13,10,5,RIDICAT,5,4,3,MEDIU
4,8,0,1,8,0,0,12,3,31,5,SCAZUT,1,1,1,SCAZUT
4,16,3,3,12,3,2,27,3,32,3,SCAZUT,1,1,1,MEDIU
6,10,3,2,30,3,1,17,4,37,8,SCAZUT,1,1,1,MEDIU
6,12,7,6,52,9,5,22,10,20,4,MEDIU,2,2,1,MEDIU
5,15,1,3,6,1,0,20,2,24,3,SCAZUT,1,1,1,SCAZUT
3,9,2,0,19,2,1,12,0,26,3,SCAZUT,1,1,1,SCAZUT
0,23,2,3,25,3,2,25,0,24,6,SCAZUT,1,1,1,MEDIU
5,23,0,1,25,0,0,10,5,27,2,SCAZUT,1,1,1,SCAZUT
6,11,4,8,49,3,4,17,5,22,6,MEDIU,3,2,1,MEDIU
3,12,7,6,41,6,6,20,7,39,4,MEDIU,2,2,1,MEDIU
3,12,6,8,46,6,2,22,12,18,3,MEDIU,3,2,1,MEDIU
0,22,2,3,27,2,1,20,2,30,2,SCAZUT,1,1,1,SCAZUT
1,20,7,5,48,11,6,16,5,0,1,MEDIU,2,3,1,MEDIU
4,23,1,2,12,0,0,29,5,8,2,SCAZUT,1,1,1,SCAZUT
5,9,3,0,23,4,1,17,2,20,7,SCAZUT,1,1,1,SCAZUT
1,14,7,5,63,11,7,16,13,30,5,MEDIU,2,3,1,MEDIU
5,18,3,0,9,4,2,20,1,35,6,SCAZUT,1,1,1,MEDIU
0,20,2,0,19,2,1,26,2,24,6,SCAZUT,1,1,1,MEDIU
0,15,3,7,65,4,1,10,10,40,8,MEDIU,2,2,1,MEDIU
5,17,0,1,6,0,0,11,0,15,3,SCAZUT,1,1,1,SCAZUT
3,22,8,8,64,10,7,21,11,6,8,MEDIU,4,3,1,MEDIU
4,21,3,8,53,3,3,19,8,6,6,MEDIU,3,2,1,SCAZUT
4,19,3,2,11,4,3,10,0,13,1,SCAZUT,1,1,1,SCAZUT
0,18,4,7,43,6,3,26,6,13,4,MEDIU,2,2,1,MEDIU
2,12,5,4,38,5,2,29,13,1,3,MEDIU,2,2,1,MEDIU
0,19,7,5,31,7,3,21,7,33,2,MEDIU,2,2,1,MEDIU
5,10,3,2,21,2,2,27,4,2,5,SCAZUT,1,1,1,SCAZUT
3,8,3,3,18,2,2,22,5,4,2,SCAZUT,1,1,1,SCAZUT
2,12,4,5,65,4,3,17,10,29,7,MEDIU,2,2,1,MEDIU
0,11,6,6,44,6,4,21,11,6,6,MEDIU,2,2,1,MEDIU
3,18,5,4,60,4,2,21,6,6,6,MEDIU,2,2,1,SCAZUT
6,12,2,0,18,3,2,21,2,3,5,SCAZUT,1,1,1,SCAZUT
4,17,0,1,9,0,0,19,5,35,6,SCAZUT,1,1,1,MEDIU
0,16,3,0,24,4,1,13,5,17,5,SCAZUT,1,1,1,SCAZUT
2,19,4,4,55,3,3,8,6,5,4,MEDIU,2,2,1,SCAZUT
3,21,13,8,88,18,13,26,16,38,2,RIDICAT,5,4,3,RIDICAT
0,12,7,3,35,8,5,27,9,28,7,MEDIU,2,2,1,RIDICAT
2,14,5,6,37,7,4,24,9,19,1,MEDIU,2,2,1,MEDIU
1,20,0,1,14,0,0,17,1,20,2,SCAZUT,1,1,1,SCAZUT
0,23,1,1,17,1,0,29,4,22,2,SCAZUT,1,1,1,SCAZUT
3,9,3,6,34,3,2,30,10,40,7,MEDIU,2,2,1,MEDIU
2,11,8,9,75,13,6,30,24,23,2,RIDICAT,5,4,2,RIDICAT
3,11,6,7,55,5,6,18,13,14,6,MEDIU,2,2,1,MEDIU
6,13,0,1,29,0,0,28,2,9,4,SCAZUT,1,1,1,SCAZUT
0,12,4,4,39,3,4,23,6,29,8,MEDIU,2,2,1,MEDIU
5,18,1,3,7,1,0,16,3,37,1,SCAZUT,1,1,1,SCAZUT
2,10,6,6,32,6,3,28,5,5,7,MEDIU,2,2,1,MEDIU
3,9,7,8,42,9,5,9,10,28,2,MEDIU,3,2,1,MEDIU
6,18,1,0,12,1,0,24,5,39,3,SCAZUT,1,1,1,SCAZUT
2,19,6,6,51,5,5,18,14,4,6,MEDIU,2,2,1,MEDIU
0,20,5,8,39,4,4,19,10,19,7,MEDIU,3,2,1,MEDIU
1,10,3,2,9,4,3,29,5,33,2,SCAZUT,1,1,1,MEDIU
5,21,0,2,14,0,0,23,1,12,4,SCAZUT,1,1,1,SCAZUT
1,12,5,3,62,7,5,9,13,21,3,MEDIU,2,2,1,MEDIU
4,20,1,1,27,1,0,22,4,2,7,SCAZUT,1,1,1,SCAZUT
2,15,7,5,58,8,4,23,8,12,6,MEDIU,2,2,1,MEDIU
5,22,2,3,21,2,1,14,4,38,3,SCAZUT,1,1,1,SCAZUT
6,16,3,2,22,4,2,11,0,18,2,SCAZUT,1,1,1,SCAZUT
6,13,3,1,18,4,1,22,0,22,1,SCAZUT,1,1,1,SCAZUT
3,9,7,5,45,11,4,8,11,20,2,MEDIU,2,3,1,MEDIU
6,18,1,0,14,1,0,30,3,30,8,SCAZUT,1,1,1,MEDIU
4,8,0,2,11,0,0,24,1,27,2,SCAZUT,1,1,1,SCAZUT
6,17,2,0,6,2,2,22,1,4,2,SCAZUT,1,1,1,SCAZUT
6,23,1,1,14,0,0,26,3,26,3,SCAZUT,1,1,1,MEDIU
5,10,0,0,17,0,0,19,3,16,1,SCAZUT,1,1,1,SCAZUT
2,10,4,8,36,5,2,9,14,22,6,MEDIU,3,2,1,MEDIU
6,13,8,6,41,6,8,22,7,2,5,MEDIU,3,2,2,MEDIU
1,9,0,2,14,0,0,23,4,16,1,SCAZUT,1,1,1,SCAZUT
6,14,2,0,25,2,2,21,2,25,8,SCAZUT,1,1,1,MEDIU
3,18,6,8,61,9,4,10,10,27,2,MEDIU,3,2,1,MEDIU
3,13,13,7,70,18,8,27,17,27,3,RIDICAT,4,4,3,RIDICAT
5,22,3,0,28,4,2,28,2,3,2,SCAZUT,1,1,1,SCAZUT
5,20,1,0,9,1,0,12,4,4,4,SCAZUT,1,1,1,SCAZUT
6,19,3,0,24,4,3,19,1,28,2,SCAZUT,1,1,1,SCAZUT
4,12,6,5,47,9,2,13,8,31,7,MEDIU,2,2,1,MEDIU
4,11,5,8,58,8,3,23,8,12,2,MEDIU,3,2,1,SCAZUT
1,10,4,8,58,6,4,18,6,22,2,MEDIU,3,2,1,MEDIU
4,17,1,1,30,1,0,14,2,8,4,SCAZUT,1,1,1,SCAZUT
6,23,2,2,19,1,2,10,4,19,7,SCAZUT,1,1,1,SCAZUT
5,23,3,0,9,4,2,29,2,33,6,SCAZUT,1,1,1,MEDIU
1,13,6,7,33,7,3,13,6,20,4,MEDIU,2,2,1,MEDIU
2,17,2,1,25,2,1,27,4,34,2,SCAZUT,1,1,1,MEDIU
4,13,4,8,51,3,4,10,14,2,5,MEDIU,3,2,1,SCAZUT
5,14,7,8,31,11,5,28,12,19,8,MEDIU,3,3,1,RIDICAT
1,20,6,3,33,7,4,14,7,21,3,MEDIU,2,2,1,MEDIU
2,18,6,4,53,7,3,22,13,7,5,MEDIU,2,2,1,SCAZUT
3,15,3,3,48,4,2,13,11,20,6,MEDIU,2,2,1,SCAZUT
1,13,7,6,61,8,3,20,9,32,8,MEDIU,2,2,1,MEDIU
1,14,3,3,48,4,3,29,12,30,5,MEDIU,2,2,1,MEDIU
4,8,3,1,13,3,2,9,5,25,1,SCAZUT,1,1,1,SCAZUT
4,14,7,5,34,8,7,16,11,39,2,MEDIU,2,2,1,MEDIU
1,11,5,5,65,7,2,24,10,25,1,MEDIU,2,2,1,MEDIU
0,9,2,3,21,1,2,12,3,20,6,SCAZUT,1,1,1,SCAZUT
1,20,7,5,62,8,6,17,13,30,1,MEDIU,2,2,1,MEDIU
2,18,6,7,49,8,3,28,5,37,4,MEDIU,2,2,1,MEDIU
5,9,1,3,9,1,0,30,5,7,4,SCAZUT,1,1,1,SCAZUT
0,22,3,1,18,2,2,27,5,30,1,SCAZUT,1,1,1,MEDIU
5,12,2,3,21,2,1,25,3,21,6,SCAZUT,1,1,1,MEDIU
5,16,1,1,13,1,1,17,4,18,4,SCAZUT,1,1,1,SCAZUT
5,23,3,2,22,3,1,29,5,34,7,SCAZUT,1,1,1,MEDIU
3,19,5,3,48,5,3,16,6,30,4,MEDIU,2,2,1,MEDIU
1,16,1,0,24,1,0,29,5,33,4,SCAZUT,1,1,1,MEDIU
5,15,0,3,15,0,0,12,5,0,3,SCAZUT,1,1,1,SCAZUT
3,23,8,4,48,8,3,10,10,36,4,MEDIU,3,2,1,MEDIU
4,9,3,1,6,4,1,17,3,2,1,SCAZUT,1,1,1,SCAZUT
2,11,12,10,99,14,13,24,20,29,5,RIDICAT,5,4,3,RIDICAT
1,11,4,8,59,5,1,18,9,18,4,MEDIU,3,2,1,MEDIU
1,20,7,5,35,9,3,12,11,30,6,MEDIU,2,2,1,MEDIU
1,8,3,1,19,4,1,26,2,0,5,SCAZUT,1,1,1,SCAZUT
5,19,0,0,19,0,0,30,2,19,2,SCAZUT,1,1,1,SCAZUT
5,17,1,1,9,0,0,27,3,23,7,SCAZUT,1,1,1,MEDIU
5,23,1,0,21,1,0,26,3,7,1,SCAZUT,1,1,1,SCAZUT
6,14,1,2,21,0,0,26,3,31,2,SCAZUT,1,1,1,MEDIU
4,22,3,1,21,3,1,22,3,19,1,SCAZUT,1,1,1,SCAZUT
3,16,1,0,6,1,0,9,3,4,8,SCAZUT,1,1,1,SCAZUT
0,17,4,4,56,6,2,20,10,24,2,MEDIU,2,2,1,MEDIU
5,12,0,1,22,0,0,15,3,0,1,SCAZUT,1,1,1,SCAZUT
2,22,7,6,44,8,3,14,8,7,1,MEDIU,2,2,1,SCAZUT
6,21,1,1,7,1,0,29,0,3,4,SCAZUT,1,1,1,SCAZUT
5,9,3,1,22,4,3,12,1,32,5,SCAZUT,1,1,1,SCAZUT
1,18,4,5,39,3,2,9,13,35,3,MEDIU,2,2,1,MEDIU
5,21,0,2,25,0,0,30,5,26,7,SCAZUT,1,1,1,MEDIU
1,17,4,7,60,6,2,30,8,9,8,MEDIU,2,2,1,MEDIU
0,21,7,7,38,7,3,28,11,5,8,MEDIU,2,2,1,MEDIU
6,19,1,0,13,1,0,10,3,12,4,SCAZUT,1,1,1,SCAZUT
3,14,12,7,78,19,5,23,15,15,4,RIDICAT,4,4,2,MEDIU
3,15,5,6,59,6,3,19,13,32,8,MEDIU,2,2,1,MEDIU
3,11,13,8,88,15,11,15,17,9,1,RIDICAT,5,4,3,MEDIU
2,21,4,4,51,4,4,23,8,35,6,MEDIU,2,2,1,MEDIU
2,23,6,4,52,5,5,13,7,34,1,MEDIU,2,2,1,MEDIU
4,9,0,0,18,0,0,30,1,9,1,SCAZUT,1,1,1,SCAZUT
1,22,0,3,26,0,0,21,3,0,1,SCAZUT,1,1,1,SCAZUT
4,16,0,3,30,0,0,12,1,15,4,SCAZUT,1,1,1,SCAZUT
4,16,2,3,7,3,1,15,2,14,5,SCAZUT,1,1,1,SCAZUT
5,10,0,3,17,0,0,8,3,10,2,SCAZUT,1,1,1,SCAZUT
3,21,7,3,63,7,7,30,5,36,8,MEDIU,2,2,1,RIDICAT
2,9,2,0,10,1,1,12,2,25,2,SCAZUT,1,1,1,SCAZUT
2,13,7,6,64,8,6,30,10,5,6,MEDIU,2,2,1,MEDIU
0,11,4,3,51,5,4,20,14,20,1,MEDIU,2,2,1,MEDIU
5,16,3,1,16,4,2,29,4,37,7,SCAZUT,1,1,1,MEDIU
0,17,0,0,13,0,0,12,1,24,6,SCAZUT,1,1,1,SCAZUT
2,11,3,5,58,4,1,10,10,11,7,MEDIU,2,2,1,SCAZUT
3,21,3,3,52,2,2,18,13,24,1,MEDIU,2,2,1,SCAZUT
2,21,9,12,100,11,4,20,15,10,3,RIDICAT,5,4,2,MEDIU
2,17,6,4,34,7,4,23,7,4,6,MEDIU,2,2,1,MEDIU
2,15,7,7,42,6,4,20,12,21,7,MEDIU,2,2,1,MEDIU
6,18,2,3,25,1,1,30,4,12,8,SCAZUT,1,1,1,SCAZUT
2,13,13,9,96,19,8,16,21,25,6,RIDICAT,5,4,3,RIDICAT
0,14,8,7,31,13,4,17,12,4,7,MEDIU,3,3,1,MEDIU
5,23,2,1,13,1,1,20,5,4,8,SCAZUT,1,1,1,SCAZUT
4,23,3,0,30,4,3,27,2,40,2,SCAZUT,1,1,1,MEDIU
0,15,1,0,23,1,0,18,5,27,2,SCAZUT,1,1,1,SCAZUT
0,11,4,7,63,5,3,22,13,23,7,MEDIU,2,2,1,MEDIU
3,12,8,10,71,9,9,11,16,9,6,RIDICAT,5,3,3,MEDIU
2,18,11,11,95,13,8,30,17,28,6,RIDICAT,5,4,3,RIDICAT
0,17,0,0,15,0,0,15,5,33,3,SCAZUT,1,1,1,SCAZUT
4,13,7,6,59,10,6,13,8,40,7,MEDIU,2,3,1,RIDICAT
3,8,3,3,17,4,1,30,0,4,2,SCAZUT,1,1,1,SCAZUT
6,13,2,1,19,2,2,24,0,40,6,SCAZUT,1,1,1,MEDIU
4,20,7,3,52,10,6,29,10,19,2,MEDIU,2,3,1,MEDIU
5,12,0,1,14,0,0,24,0,24,7,SCAZUT,1,1,1,SCAZUT
4,12,6,4,61,8,5,13,13,35,3,MEDIU,2,2,1,MEDIU
3,17,4,5,58,3,2,8,14,31,3,MEDIU,2,2,1,MEDIU
1,20,6,8,61,8,4,13,11,5,1,MEDIU,3,2,1,SCAZUT
6,15,0,2,12,0,0,26,4,31,2,SCAZUT,1,1,1,MEDIU
4,11,7,5,64,10,5,14,5,27,2,MEDIU,2,3,1,MEDIU
5,15,0,3,13,0,0,11,2,15,4,SCAZUT,1,1,1,SCAZUT
6,19,1,1,30,1,1,26,1,22,5,SCAZUT,1,1,1,SCAZUT
4,13,8,5,48,8,8,29,14,6,3,MEDIU,3,2,2,MEDIU
6,21,2,1,27,2,1,15,1,25,8,SCAZUT,1,1,1,MEDIU
1,16,6,6,34,6,5,30,6,23,8,MEDIU,2,2,1,MEDIU
3,18,8,3,59,12,8,20,10,13,7,MEDIU,3,3,2,RIDICAT
6,14,5,5,48,6,2,23,10,21,1,MEDIU,2,2,1,MEDIU
0,11,3,3,40,3,3,21,12,12,3,MEDIU,2,2,1,SCAZUT
5,17,2,0,25,2,1,28,2,10,1,SCAZUT,1,1,1,SCAZUT
3,17,6,8,35,4,4,12,6,37,4,MEDIU,3,2,1,MEDIU
4,22,0,2,8,0,0,15,3,24,2,SCAZUT,1,1,1,SCAZUT
5,11,2,2,14,2,2,12,1,9,2,SCAZUT,1,1,1,SCAZUT
4,8,3,2,28,4,1,21,1,39,8,SCAZUT,1,1,1,MEDIU
6,14,0,1,29,0,0,21,0,20,3,SCAZUT,1,1,1,SCAZUT
1,16,1,2,29,0,1,17,5,13,4,SCAZUT,1,1,1,SCAZUT
5,20,0,1,20,0,0,27,3,4,1,SCAZUT,1,1,1,SCAZUT
2,18,6,7,56,7,3,23,10,4,1,MEDIU,2,2,1,SCAZUT
4,10,2,1,6,3,1,17,0,40,7,SCAZUT,1,1,1,MEDIU
3,20,8,7,64,7,3,10,14,32,4,MEDIU,3,2,1,MEDIU
6,12,3,0,14,3,3,15,5,3,4,SCAZUT,1,1,1,SCAZUT
0,21,3,0,14,4,2,11,5,0,3,SCAZUT,1,1,1,SCAZUT
5,8,3,2,21,4,2,13,4,23,3,SCAZUT,1,1,1,SCAZUT
5,16,0,2,30,0,0,30,3,36,2,SCAZUT,1,1,1,MEDIU
3,22,3,6,40,2,3,26,10,7,4,MEDIU,2,2,1,SCAZUT
5,8,0,1,6,0,0,13,3,2,7,SCAZUT,1,1,1,SCAZUT
1,18,6,8,50,9,5,11,9,32,1,MEDIU,3,2,1,MEDIU
1,15,3,0,19,4,1,10,2,35,8,SCAZUT,1,1,1,MEDIU
0,19,5,7,49,5,3,23,14,12,4,MEDIU,2,2,1,SCAZUT
1,8,0,1,22,0,0,8,2,21,1,SCAZUT,1,1,1,SCAZUT
6,20,0,1,21,0,0,12,1,17,2,SCAZUT,1,1,1,SCAZUT
0,15,8,5,59,10,6,28,6,25,2,MEDIU,3,3,1,RIDICAT
4,9,1,1,14,1,1,20,2,20,6,SCAZUT,1,1,1,SCAZUT
3,16,3,4,38,2,1,22,14,29,6,MEDIU,2,2,1,MEDIU
3,11,11,10,84,11,5,13,19,19,1,RIDICAT,5,4,2,MEDIU
1,18,3,8,45,3,1,17,10,16,3,MEDIU,3,2,1,SCAZUT
0,20,7,8,65,6,3,12,8,7,1,MEDIU,3,2,1,SCAZUT
0,15,1,3,16,1,0,26,5,37,5,SCAZUT,1,1,1,MEDIU
6,10,0,1,25,0,0,18,3,7,1,SCAZUT,1,1,1,SCAZUT
3,9,3,3,20,3,2,19,0,13,3,SCAZUT,1,1,1,SCAZUT
2,16,4,3,45,4,4,23,9,3,2,MEDIU,2,2,1,SCAZUT
2,20,6,4,63,8,6,8,8,24,6,MEDIU,2,2,1,MEDIU
3,23,2,3,13,1,1,8,1,17,1,SCAZUT,1,1,1,SCAZUT
6,23,1,1,8,1,0,9,1,14,7,SCAZUT,1,1,1,SCAZUT
2,13,4,7,50,6,1,30,10,22,3,MEDIU,2,2,1,MEDIU
4,14,7,5,41,5,3,27,12,14,1,MEDIU,2,2,1,MEDIU
4,23,2,1,30,2,1,18,1,3,1,SCAZUT,1,1,1,SCAZUT
1,12,7,5,34,10,6,26,10,6,6,MEDIU,2,3,1,MEDIU
2,18,4,8,57,5,2,25,12,39,6,MEDIU,3,2,1,RIDICAT
1,13,5,8,48,4,2,30,7,36,7,MEDIU,3,2,1,MEDIU
6,9,2,1,25,1,1,18,4,4,4,SCAZUT,1,1,1,SCAZUT
2,18,8,3,51,6,4,30,12,4,6,MEDIU,3,2,1,MEDIU
2,11,3,6,58,5,3,23,11,24,6,MEDIU,2,2,1,MEDIU
4,20,3,1,10,2,3,17,3,1,6,SCAZUT,1,1,1,SCAZUT
2,11,5,4,54,7,4,10,7,21,8,MEDIU,2,2,1,MEDIU
5,8,1,3,10,0,0,14,0,26,5,SCAZUT,1,1,1,SCAZUT
5,17,1,0,6,1,1,12,3,3,6,SCAZUT,1,1,1,SCAZUT
0,21,2,3,11,1,1,17,0,5,8,SCAZUT,1,1,1,SCAZUT
6,11,3,3,20,3,2,20,5,11,6,SCAZUT,1,1,1,SCAZUT
3,19,6,3,46,7,3,16,12,36,1,MEDIU,2,2,1,MEDIU
1,11,8,5,64,13,6,25,11,3,7,MEDIU,3,3,1,RIDICAT
6,21,1,3,14,1,1,9,0,32,3,SCAZUT,1,1,1,SCAZUT
0,22,1,1,30,0,0,29,1,27,4,SCAZUT,1,1,1,MEDIU
6,12,2,0,7,2,1,16,3,33,8,SCAZUT,1,1,1,MEDIU
6,8,0,3,9,0,0,11,1,6,2,SCAZUT,1,1,1,SCAZUT
6,17,3,2,17,3,2,9,5,11,5,SCAZUT,1,1,1,SCAZUT
3,12,8,10,86,8,7,16,23,23,1,RIDICAT,5,3,2,MEDIU
2,17,5,6,36,4,5,22,8,20,5,MEDIU,2,2,1,SCAZUT
5,21,1,3,11,1,1,19,3,3,3,SCAZUT,1,1,1,SCAZUT
0,17,4,7,31,3,4,9,7,15,1,MEDIU,2,2,1,SCAZUT
3,9,1,2,16,1,0,11,3,1,4,SCAZUT,1,1,1,SCAZUT
2,23,4,6,65,4,4,16,10,5,5,MEDIU,2,2,1,SCAZUT
0,20,1,1,12,1,0,28,5,26,1,SCAZUT,1,1,1,MEDIU
6,8,1,1,24,1,0,17,0,17,7,SCAZUT,1,1,1,SCAZUT
3,19,12,8,94,16,12,20,16,37,2,RIDICAT,5,4,3,RIDICAT
0,19,5,8,36,4,5,28,12,20,5,MEDIU,3,2,1,MEDIU
2,17,4,7,45,6,4,27,5,25,6,MEDIU,2,2,1,RIDICAT
5,12,3,2,13,3,2,26,3,36,4,SCAZUT,1,1,1,MEDIU
2,15,8,5,62,12,8,25,9,11,5,MEDIU,3,3,2,RIDICAT
0,23,2,1,26,2,1,15,2,19,7,SCAZUT,1,1,1,SCAZUT
6,18,2,2,19,2,2,26,0,37,2,SCAZUT,1,1,1,MEDIU
3,14,8,6,63,9,8,12,9,8,4,MEDIU,3,2,2,MEDIU
2,21,10,9,76,8,6,13,24,20,1,RIDICAT,5,3,2,MEDIU
0,22,1,1,23,1,1,10,1,8,7,SCAZUT,1,1,1,SCAZUT
5,21,3,3,17,2,1,19,0,0,6,SCAZUT,1,1,1,SCAZUT
6,14,0,1,12,0,0,11,5,24,5,SCAZUT,1,1,1,SCAZUT
1,10,2,2,19,2,1,21,5,8,6,SCAZUT,1,1,1,SCAZUT
3,19,4,6,31,4,4,14,8,1,3,MEDIU,2,2,1,SCAZUT
0,19,3,2,29,4,2,9,4,6,1,SCAZUT,1,1,1,SCAZUT
0,11,6,6,37,6,5,14,13,40,1,MEDIU,2,2,1,MEDIU
2,21,8,7,47,10,4,11,14,32,2,MEDIU,3,3,1,RIDICAT
2,11,6,4,42,9,7,19,9,26,5,MEDIU,2,2,1,MEDIU
1,9,1,3,15,0,0,11,1,36,8,SCAZUT,1,1,1,MEDIU
